date,well_name,bhp,bht,dp_tubing,AVG_CHOKE_SIZE_P,thp,tht,choke_size_percentage,QL,QG,well6_inj,well7_inj
2014-04-21,15/9-F-1 C,301.3756413043478,102.67637913043478,204.79518347826087,20.989748333333335,96.58045782608696,19.196819130434783,69.7755695652174,0.0,0.0,5662.274117083333,4768.821609791667
2014-04-22,15/9-F-1 C,289.42136166666666,106.35320895833334,182.059311875,43.34345125,107.36204979166666,37.93925125,78.93540895833333,631.47,90439.09000000001,5789.492553541667,4247.453941666667
2014-04-23,15/9-F-1 C,270.23979291666666,107.64377895833333,171.05278208333334,47.167523125,99.18701083333333,60.756579375,70.627109375,1166.46,165720.39,6465.918884166666,5060.79575375
2014-04-24,15/9-F-1 C,262.8427475,107.86923416666667,168.24197729166667,47.73231020833333,94.60077020833333,63.046799791666665,66.049150625,1549.8100000000002,221707.30999999997,6158.8,5236.8
2014-04-25,15/9-F-1 C,255.52699520833335,107.97113708333333,165.538903125,48.53376875,89.98809208333333,64.54722916666667,61.40538625,1248.7,178063.52,6412.503662083333,5423.6039125
2014-04-26,15/9-F-1 C,247.19905208333333,108.05203020833333,162.42224166666668,49.844502291666664,84.77681041666666,65.72369375,56.14790645833333,1345.78,192602.19000000003,6499.575362708333,5523.876212708334
2014-04-27,15/9-F-1 C,240.736416875,108.05380395833333,159.89901979166666,50.296981875,80.83739708333333,66.93373229166667,52.20174708333333,1349.56,194496.27,6968.375565208334,5790.59162125
2014-04-28,15/9-F-1 C,235.02093145833334,108.04163645833333,157.68322,50.735878541666665,77.33771145833333,67.84834791666667,48.707583541666665,1345.61,192899.71,7116.851197083333,5838.532135416666
2014-04-29,15/9-F-1 C,232.74371041666666,107.987806875,156.794893125,50.11391979166667,75.94881729166667,65.70691916666667,47.375714583333334,1279.46,184900.30999999997,7468.198943958333,5755.027184166666
2014-04-30,15/9-F-1 C,233.29777791666666,107.89323895833333,157.179385,48.92679020833334,76.11839291666666,62.795643958333336,47.61060354166667,1225.62,177107.86,7524.983123958334,5743.776282916667
2014-05-01,15/9-F-1 C,231.0888975,107.87692229166667,156.39897770833332,48.93862895833333,74.68991979166667,62.376834375,46.195843333333336,1212.9,174608.88,7672.1511083333335,5721.580833541667
2014-05-02,15/9-F-1 C,231.41900520833335,107.81687916666667,156.69023791666666,48.303704583333335,74.72876729166667,60.747315625,46.15029979166667,1074.04,154870.67,7674.804871041667,5718.7838285416665
2014-05-03,15/9-F-1 C,230.76554520833332,107.79546708333334,156.60596666666666,48.17349875,74.15957854166666,60.627934375,45.73272291666667,1044.17,147929.93,7836.5824589583335,5669.658187916667
2014-05-04,15/9-F-1 C,230.595831875,107.76431541666666,156.687604375,47.466087916666666,73.9082275,58.279021666666665,45.491345,970.2000000000002,139378.45,7986.122268958334,5656.960121458334
2014-05-05,15/9-F-1 C,229.423676875,107.77973166666666,156.42926291666666,47.84001958333333,72.99441395833334,54.9047225,44.54851,946.12,136980.49,8331.10108875,5519.907181041666
2014-05-06,15/9-F-1 C,225.9024775,107.86022020833333,154.95086020833332,49.00558229166667,70.95161729166666,58.882811458333336,42.44995395833333,1002.83,144950.15,8681.171187708333,5506.497482083333
2014-05-07,15/9-F-1 C,225.76834875,107.83816541666667,155.05853583333334,47.920399583333335,70.70981291666666,57.42564229166667,42.048938541666665,925.31,135000.24,8436.018372083334,5553.702338958334
2014-05-08,15/9-F-1 C,225.68692270833333,107.821048125,155.14190229166667,47.296947708333335,70.54502041666667,57.655958125,41.15918895833333,913.86,127564.51,4928.276713125,3407.0914866666667
2014-05-09,15/9-F-1 C,227.79783849312602,107.5994551584939,156.85221704868093,29.13358708333333,70.94562144444508,55.95530239297234,41.74523020964568,306.73720157243304,42198.398940530635,0.0,0.0
2014-05-10,15/9-F-1 C,226.06091479166668,107.68369,155.16497145833333,48.13438479166667,70.89594333333334,57.37377854166667,41.90457979166667,944.19,52162.579999999994,0.0,0.0
2014-05-11,15/9-F-1 C,225.09668541666667,107.836451875,155.16161875,47.49388729166667,69.93506666666667,58.024333541666664,41.48348958333333,823.41,117731.72000000002,0.0,0.0
2014-05-12,15/9-F-1 C,226.02269270833332,107.77166645833333,155.79650583333333,46.93359,70.226186875,56.88541625,41.80654479166667,769.0099999999999,111238.01,0.0,0.0
2014-05-13,15/9-F-1 C,226.90499510638298,107.71747319148936,156.57676718971632,46.335198958333336,70.32822791666666,54.25530875,41.925575,740.7999999999998,107144.39999999998,0.0,0.0
2014-05-14,15/9-F-1 C,225.57624978723405,107.74143479166666,156.2037677039007,45.162089583333334,69.37248208333334,54.99535708333333,40.98107625,713.2400000000001,102880.55,0.0,0.0
2014-05-15,15/9-F-1 C,225.89259895833334,107.70935872340425,156.82564125,46.31644395833333,69.06695770833333,48.59812458333333,40.65059895833333,743.83,106745.44,0.0,0.0
2014-05-16,15/9-F-1 C,225.70079787234042,107.71023416666667,157.10794391400708,46.34614208333333,68.59285395833334,48.37775479166667,40.13814,736.09,104864.02,0.0,0.0
2014-05-17,15/9-F-1 C,223.60251041666666,107.77769229166667,156.346404375,47.08721125,67.25610604166667,53.92077354166667,38.839852083333334,782.88,110078.32,0.0,0.0
2014-05-18,15/9-F-1 C,220.10196229166667,107.88902957446808,154.69510125,47.769806875,65.40686104166667,53.83151333333333,36.990086875,834.68,117387.58,0.0,0.0
2014-05-19,15/9-F-1 C,220.49043893617022,107.86042291666666,155.1761033111702,47.13594875,65.314335625,55.75360791666667,36.90605083333333,788.7999999999998,109517.37,0.0,0.0
2014-05-20,15/9-F-1 C,220.153866875,107.85864833333333,155.23751041666668,47.14246875,64.91635645833334,55.628124375,36.50938479166667,783.06,109362.2,0.0,0.0
2014-05-21,15/9-F-1 C,220.06589395833333,107.851481875,155.37458229166666,46.524590833333335,64.69131166666666,52.236396666666664,36.280858125,743.77,104993.12,0.0,0.0
2014-05-22,15/9-F-1 C,219.982621875,107.8523675,155.54675833333334,46.2889975,64.43586354166666,53.66113229166667,36.01890375,735.41,107115.77,0.0,0.0
2014-05-23,15/9-F-1 C,219.86292604166667,107.86721854166667,155.572074375,46.284226875,64.29085166666667,49.05298020833333,35.873076875,836.2000000000002,108079.02999999998,0.0,0.0
2014-05-24,15/9-F-1 C,219.922990625,107.88298,155.75273854166667,46.24215791666666,64.17025208333334,54.6906875,35.750709791666665,846.9599999999999,108387.02,0.0,0.0
2014-05-25,15/9-F-1 C,219.9771025,107.90278770833334,155.90444416666668,46.261677291666665,64.07265833333334,55.231164375,35.671312916666665,851.58,105809.71,0.0,0.0
2014-05-26,15/9-F-1 C,219.97377531914893,107.92071145833333,156.04339469414893,46.26510666666667,63.930380625,55.102527916666666,35.528916875,813.88,106514.13,0.0,0.0
2014-05-27,15/9-F-1 C,219.98047520833333,107.93646229166667,156.24326083333332,46.226333333333336,63.737214375,55.311219375,35.33483833333333,806.58,105800.29,0.0,0.0
2014-05-28,15/9-F-1 C,219.26666729166666,107.44471020833333,155.71557541666667,46.215003125,63.551091875,55.508233125,35.155495208333335,771.9699999999999,102249.56,0.0,0.0
2014-05-29,15/9-F-1 C,220.00718041666667,107.96204104166667,156.54946291666667,46.21505770833333,63.4577175,56.170836875,35.05228625,775.9,102823.5,0.0,0.0
2014-05-30,15/9-F-1 C,220.00026020833334,107.97361333333333,156.66496541666666,46.231572291666666,63.33529479166667,55.851693125,34.923878333333334,782.0400000000001,103977.99,0.0,0.0
